date,active_addresses
2012-01-04,9542.0
2012-01-08,10661.0
2012-01-12,10691.0
2012-01-16,11532.0
2012-01-20,10999.0
2012-01-24,11684.0
2012-01-28,10203.0
2012-02-01,11456.0
2012-02-05,11451.0
2012-02-09,12023.0
2012-02-13,12755.0
2012-02-17,11012.0
2012-02-21,11225.0
2012-02-25,11022.0
2012-02-29,12043.0
2012-03-04,12059.0
2012-03-08,12185.0
2012-03-12,11290.0
2012-03-16,12250.0
2012-03-20,12143.0
2012-03-24,10955.0
2012-03-28,12531.0
2012-04-01,9862.0
2012-04-05,12119.0
2012-04-10,13537.0
2012-04-14,13106.0
2012-04-18,14652.0
2012-04-22,11365.0
2012-04-26,14837.0
2012-04-30,15186.0
2012-05-04,17784.0
2012-05-08,19584.0
2012-05-12,19032.0
2012-05-16,20227.0
2012-05-20,24706.0
2012-05-24,23103.0
2012-05-28,24094.0
2012-06-01,23507.0
2012-06-05,34403.0
2012-06-09,25160.0
2012-06-13,38857.0
2012-06-17,32557.0
2012-06-21,23348.0
2012-06-25,26708.0
2012-06-29,26456.0
2012-07-03,26886.0
2012-07-07,25832.0
2012-07-11,28013.0
2012-07-15,24275.0
2012-07-19,27587.0
2012-07-23,33404.0
2012-07-27,26568.0
2012-07-31,45337.0
2012-08-04,28146.0
2012-08-08,39343.0
2012-08-12,31503.0
2012-08-16,47583.0
2012-08-20,33907.0
2012-08-24,35254.0
2012-08-28,31789.0
2012-09-01,36448.0
2012-09-05,34684.0
2012-09-09,32968.0
2012-09-13,27581.0
2012-09-17,26455.0
2012-09-21,29568.0
2012-09-26,36372.0
2012-09-30,25258.0
2012-10-04,36409.0
2012-10-08,38115.0
2012-10-12,35240.0
2012-10-16,31821.0
2012-10-20,32674.0
2012-10-24,32550.0
2012-10-28,21241.0
2012-11-01,23851.0
2012-11-05,28848.0
2012-11-09,28298.0
2012-11-13,25520.0
2012-11-17,44133.0
2012-11-21,33493.0
2012-11-25,27861.0
2012-11-29,31421.0
2012-12-03,23875.0
2012-12-07,30025.0
2012-12-11,29038.0
2012-12-16,28686.0
2012-12-20,29958.0
2012-12-24,28575.0
2012-12-28,33348.0
