date,active_addresses
2022-01-04,680570.0
2022-01-08,591014.0
2022-01-12,679922.0
2022-01-16,569876.0
2022-01-20,683613.0
2022-01-24,668850.0
2022-01-28,680599.0
2022-02-01,687763.0
2022-02-05,673249.0
2022-02-09,663348.0
2022-02-13,590527.0
2022-02-17,665429.0
2022-02-21,615656.0
2022-02-25,687447.0
2022-03-01,722863.0
2022-03-05,594977.0
2022-03-09,702360.0
2022-03-13,554544.0
2022-03-17,743399.0
2022-03-21,663684.0
2022-03-25,752938.0
2022-03-29,706611.0
2022-04-02,660755.0
2022-04-06,666088.0
2022-04-10,551596.0
2022-04-14,673582.0
2022-04-18,631282.0
2022-04-22,671463.0
2022-04-26,689345.0
2022-04-30,684282.0
2022-05-04,615048.0
2022-05-08,597305.0
2022-05-12,730516.0
2022-05-16,663779.0
2022-05-20,668605.0
2022-05-24,600094.0
2022-05-28,576357.0
2022-06-01,683372.0
2022-06-05,538083.0
2022-06-09,661923.0
2022-06-13,708381.0
2022-06-17,663831.0
2022-06-21,647716.0
2022-06-25,557791.0
2022-06-29,654949.0
2022-07-03,548190.0
2022-07-07,691644.0
2022-07-11,590261.0
2022-07-15,661194.0
2022-07-19,682638.0
2022-07-23,572761.0
2022-07-27,644191.0
2022-07-31,561055.0
2022-08-04,695558.0
2022-08-08,652517.0
2022-08-12,703328.0
2022-08-16,677726.0
2022-08-20,597278.0
2022-08-24,649399.0
2022-08-28,547812.0
2022-09-01,685449.0
2022-09-05,628765.0
2022-09-09,753468.0
2022-09-13,663498.0
2022-09-17,641808.0
2022-09-21,632611.0
2022-09-25,574037.0
2022-09-29,652313.0
2022-10-03,656236.0
2022-10-07,675013.0
2022-10-11,635320.0
2022-10-15,612380.0
2022-10-19,612805.0
2022-10-23,582380.0
2022-10-27,648360.0
2022-10-31,667561.0
2022-11-04,689430.0
2022-11-08,719305.0
2022-11-12,677645.0
2022-11-16,670368.0
2022-11-20,595776.0
2022-11-24,642832.0
2022-11-28,630827.0
2022-12-02,686664.0
2022-12-06,637825.0
2022-12-10,617455.0
2022-12-14,673994.0
2022-12-18,559608.0
2022-12-22,665463.0
2022-12-26,548937.0
2022-12-30,726125.0
