date,active_addresses
2013-01-02,34292.0
2013-01-06,32347.0
2013-01-10,44686.0
2013-01-14,33866.0
2013-01-18,43006.0
2013-01-22,38013.0
2013-01-26,41077.0
2013-01-30,34666.0
2013-02-03,43416.0
2013-02-07,44492.0
2013-02-11,39656.0
2013-02-15,38769.0
2013-02-19,39820.0
2013-02-23,41790.0
2013-02-27,42868.0
2013-03-03,35819.0
2013-03-07,50988.0
2013-03-11,41067.0
2013-03-15,51708.0
2013-03-19,52413.0
2013-03-23,50305.0
2013-03-27,58532.0
2013-03-31,48515.0
2013-04-04,86454.0
2013-04-08,94011.0
2013-04-12,81347.0
2013-04-16,81694.0
2013-04-20,62602.0
2013-04-24,81580.0
2013-04-28,104608.0
2013-05-02,65415.0
2013-05-07,94788.0
2013-05-11,66176.0
2013-05-15,68388.0
2013-05-19,51697.0
2013-05-23,68378.0
2013-05-27,59658.0
2013-05-31,61670.0
2013-06-04,64541.0
2013-06-08,47541.0
2013-06-12,52892.0
2013-06-16,39659.0
2013-06-20,54098.0
2013-06-24,52722.0
2013-06-28,56602.0
2013-07-02,51868.0
2013-07-06,42492.0
2013-07-10,54321.0
2013-07-14,38901.0
2013-07-18,52109.0
2013-07-22,50290.0
2013-07-26,51523.0
2013-07-30,58704.0
2013-08-03,49767.0
2013-08-07,64954.0
2013-08-11,43353.0
2013-08-15,64588.0
2013-08-19,69236.0
2013-08-23,63359.0
2013-08-27,72059.0
2013-08-31,77866.0
2013-09-04,62447.0
2013-09-08,44651.0
2013-09-12,63265.0
2013-09-16,57572.0
2013-09-20,66115.0
2013-09-24,65926.0
2013-09-28,56523.0
2013-10-02,77728.0
2013-10-06,49517.0
2013-10-10,67237.0
2013-10-14,68679.0
2013-10-18,70030.0
2013-10-22,91759.0
2013-10-26,60631.0
2013-10-30,78591.0
2013-11-03,65338.0
2013-11-07,109301.0
2013-11-11,88300.0
2013-11-15,102176.0
2013-11-19,170557.0
2013-11-23,130687.0
2013-11-27,170801.0
2013-12-01,136377.0
2013-12-05,157285.0
2013-12-09,136327.0
2013-12-13,121972.0
2013-12-17,133831.0
2013-12-21,107061.0
2013-12-25,113223.0
2013-12-29,94132.0
