date,interest_rate
1972-01-01,3.51
1972-02-01,3.3
1972-03-01,3.83
1972-04-01,4.17
1972-05-01,4.27
1972-06-01,4.46
1972-07-01,4.55
1972-08-01,4.81
1972-09-01,4.87
1972-10-01,5.05
1972-11-01,5.06
1972-12-01,5.33
