date,interest_rate
1994-01-01,3.05
1994-02-01,3.25
1994-03-01,3.34
1994-04-01,3.56
1994-05-01,4.01
1994-06-01,4.25
1994-07-01,4.26
1994-08-01,4.47
1994-09-01,4.73
1994-10-01,4.76
1994-11-01,5.29
1994-12-01,5.45
