,btc_close,active_addresses,dxy_close,eth_close,fear_greed,gold_close,interest_rate,sp500_close,trend,btc_log_return,btc_rsi,eth_log_return,sp500_log_return,gold_log_return,dxy_log_return
2014-09-17,457.3340148925781,160989.0,84.69999694824219,,,1234.4000244140625,0.09,2001.5699462890625,22.0,,,,,,
2014-09-18,424.44000244140625,160989.0,84.31999969482422,,,1225.699951171875,0.09,2011.3599853515625,22.0,-0.07464335114905024,,,0.004879257127339826,-0.007072972316842551,-0.00449648445401471
2014-09-19,394.7959899902344,143062.0,84.80000305175781,,,1215.300048828125,0.09,2010.4000244140625,22.0,-0.07240150831598655,,,-0.00047738351040339826,-0.008521069455598274,0.005676497611771969
2014-09-20,408.9039916992187,143062.0,84.80000305175781,,,1215.300048828125,0.09,2010.4000244140625,22.0,0.035111238924079614,,,0.0,0.0,0.0
2014-09-21,398.8210144042969,143062.0,84.80000305175781,,,1215.300048828125,0.09,2010.4000244140625,22.0,-0.024967658573127563,,,0.0,0.0,0.0
2014-09-22,402.1520080566406,143062.0,84.66999816894531,,,1216.800048828125,0.09,1994.2900390625,22.0,0.008317415847792081,,,-0.0080456025302185,0.0012335020187995553,-0.0015342527571599925
2014-09-23,435.7909851074219,163696.0,84.66000366210938,,,1221.0,0.09,1982.77001953125,22.0,0.08033258980830758,,,-0.0057932500796262516,0.003445693037314456,-0.00011804767896379245
2014-09-24,423.2049865722656,163696.0,85.05000305175781,,,1218.5999755859375,0.09,1998.300048828125,22.0,-0.029306072958098176,,,0.0078019767586544365,-0.0019675563308279276,0.004596076374353068
2014-09-25,411.5740051269531,163696.0,85.19999694824219,,,1221.199951171875,0.09,1965.989990234375,22.0,-0.027867817193167922,,,-0.016300913265170507,0.0021313030971201394,0.0017620432927195214
2014-09-26,404.4249877929687,163696.0,85.63999938964844,,,1214.0999755859375,0.09,1982.8499755859375,22.0,-0.017522571265167215,,,0.00853926112400154,-0.005830900435841579,0.005151058578021354
2014-09-27,399.5199890136719,141428.0,85.63999938964844,,,1214.0999755859375,0.09,1982.8499755859375,22.0,-0.01220247599944209,,,0.0,0.0,0.0
2014-09-28,377.1809997558594,141428.0,85.63999938964844,,,1214.0999755859375,0.09,1982.8499755859375,23.0,-0.05753862134517328,,,0.0,0.0,0.0
2014-09-29,375.4670104980469,141428.0,85.58999633789062,,,1217.5,0.09,1977.800048828125,23.0,-0.004554565208133669,,,-0.0025500508569158233,0.0027965345155895093,-0.0005840454876697728
2014-09-30,386.9440002441406,141428.0,85.94000244140625,,,1210.5,0.09,1972.2900390625,23.0,0.03010936786854685,,,-0.0027898165443120183,-0.005766078578631628,0.004080995648245658
