date,active_addresses
2021-01-01,609741.0
2021-01-05,845343.0
2021-01-09,760179.0
2021-01-13,772596.0
2021-01-17,642730.0
2021-01-21,736588.0
2021-01-25,732867.0
2021-01-29,888960.0
2021-02-02,865515.0
2021-02-06,795079.0
2021-02-10,861426.0
2021-02-14,698818.0
2021-02-18,820203.0
2021-02-22,761941.0
2021-02-26,817077.0
2021-03-02,810035.0
2021-03-06,677322.0
2021-03-10,833186.0
2021-03-14,736008.0
2021-03-18,885634.0
2021-03-22,781908.0
2021-03-26,790548.0
2021-03-30,826466.0
2021-04-03,704293.0
2021-04-07,860993.0
2021-04-11,653736.0
2021-04-15,952400.0
2021-04-19,674744.0
2021-04-23,794322.0
2021-04-27,748381.0
2021-05-01,677778.0
2021-05-05,808208.0
2021-05-09,690253.0
2021-05-13,806882.0
2021-05-17,684281.0
2021-05-21,695822.0
2021-05-25,640506.0
2021-05-29,537305.0
2021-06-02,663855.0
2021-06-06,467665.0
2021-06-10,679752.0
2021-06-14,624698.0
2021-06-18,567037.0
2021-06-22,550948.0
2021-06-26,490112.0
2021-06-30,567655.0
2021-07-04,467442.0
2021-07-08,580441.0
2021-07-12,560833.0
2021-07-16,552751.0
2021-07-20,571829.0
2021-07-24,497255.0
2021-07-28,605433.0
2021-08-01,474430.0
2021-08-05,614597.0
2021-08-09,611235.0
2021-08-13,639596.0
2021-08-17,618951.0
2021-08-21,555440.0
2021-08-25,636566.0
2021-08-29,474721.0
2021-09-02,714181.0
2021-09-06,627019.0
2021-09-10,640477.0
2021-09-14,646621.0
2021-09-18,561878.0
2021-09-22,645903.0
2021-09-26,494512.0
2021-09-30,706763.0
2021-10-04,650133.0
2021-10-08,689788.0
2021-10-12,673664.0
2021-10-16,674026.0
2021-10-20,713105.0
2021-10-24,554996.0
2021-10-28,749957.0
2021-11-01,732119.0
2021-11-05,721315.0
2021-11-09,796734.0
2021-11-13,628022.0
2021-11-17,708703.0
2021-11-21,586185.0
2021-11-25,741152.0
2021-11-29,727580.0
2021-12-03,738749.0
2021-12-07,725368.0
2021-12-11,599422.0
2021-12-15,707659.0
2021-12-19,557914.0
2021-12-23,744101.0
2021-12-27,674082.0
2021-12-31,703405.0
