date,active_addresses
2010-01-04,184.0
2010-01-08,153.0
2010-01-12,162.0
2010-01-16,126.0
2010-01-20,158.0
2010-01-24,155.0
2010-01-28,178.0
2010-02-01,193.0
2010-02-05,228.0
2010-02-09,211.0
2010-02-13,235.0
2010-02-17,248.0
2010-02-21,227.0
2010-02-25,158.0
2010-03-01,199.0
2010-03-05,173.0
2010-03-09,148.0
2010-03-13,154.0
2010-03-17,139.0
2010-03-21,187.0
2010-03-25,201.0
2010-03-29,201.0
2010-04-02,159.0
2010-04-06,174.0
2010-04-10,295.0
2010-04-14,221.0
2010-04-18,3359.0
2010-04-22,191.0
2010-04-26,207.0
2010-04-30,170.0
2010-05-04,161.0
2010-05-09,178.0
2010-05-13,155.0
2010-05-17,163.0
2010-05-21,215.0
2010-05-25,247.0
2010-05-29,233.0
2010-06-02,189.0
2010-06-06,191.0
2010-06-10,218.0
2010-06-14,255.0
2010-06-18,190.0
2010-06-22,236.0
2010-06-26,199.0
2010-06-30,261.0
2010-07-04,205.0
2010-07-08,223.0
2010-07-12,3368.0
2010-07-16,1436.0
2010-07-21,524.0
2010-07-25,1881.0
2010-07-29,431.0
2010-08-02,431.0
2010-08-06,422.0
2010-08-10,370.0
2010-08-14,440.0
2010-08-18,450.0
2010-08-22,373.0
2010-08-26,388.0
2010-08-30,359.0
2010-09-03,373.0
2010-09-07,290.0
2010-09-11,330.0
2010-09-15,484.0
2010-09-19,389.0
2010-09-23,725.0
2010-09-27,693.0
2010-10-01,672.0
2010-10-05,491.0
2010-10-09,484.0
2010-10-13,457.0
2010-10-17,541.0
2010-10-21,697.0
2010-10-25,517.0
2010-10-29,542.0
2010-11-02,322.0
2010-11-06,447.0
2010-11-10,458.0
2010-11-14,457.0
2010-11-18,469.0
2010-11-22,418.0
2010-11-26,955.0
2010-11-30,577.0
2010-12-04,537.0
2010-12-08,674.0
2010-12-12,979.0
2010-12-16,706.0
2010-12-20,1120.0
2010-12-24,711.0
2010-12-28,877.0
