,btc_close,active_addresses,dxy_close,eth_close,fear_greed,gold_close,interest_rate,sp500_close,trend,btc_log_return,btc_rsi
2014-11-29,375.4909973144531,181523.5,88.22333272298177,320.8840026855469,30.0,1189.4666341145833,0.118,2062.8533528645835,72.85714285714286,-0.0025427473603651814,49.68869484459014
2014-11-30,378.0469970703125,181603.75,88.08666483561198,320.8840026855469,30.0,1203.7333170572917,0.119,2058.1466471354165,73.0,0.006784023042740145,44.76422072632501
2014-12-01,379.2449951171875,181684.0,87.94999694824219,320.8840026855469,30.0,1218.0,0.12,2053.43994140625,74.28571428571429,0.003163902586034823,45.687571803940706
2014-12-02,381.31500244140625,184812.0,88.6500015258789,320.8840026855469,30.0,1199.199951171875,0.11967741935483871,2066.550048828125,75.57142857142857,0.005443390244398497,53.61931485774955
2014-12-03,375.010009765625,187940.0,88.95999908447266,320.8840026855469,30.0,1208.5,0.11935483870967742,2074.330078125,76.85714285714286,-0.01667309327292109,46.7555365405246
2014-12-04,369.60400390625,191068.0,88.69999694824219,320.8840026855469,30.0,1207.5,0.11903225806451613,2071.919921875,78.14285714285714,-0.014520545533967717,58.63172503731622
2014-12-05,376.85400390625,194196.0,89.33000183105469,320.8840026855469,30.0,1190.0999755859375,0.11870967741935483,2075.3701171875,79.42857142857143,0.01942568211280815,69.00968458510474
2014-12-06,374.7850036621094,192276.75,89.23333485921223,320.8840026855469,30.0,1191.63330078125,0.11838709677419354,2070.35009765625,80.71428571428571,-0.005505316911438858,65.98341675225694
2014-12-07,375.0950012207031,190357.5,89.1366678873698,320.8840026855469,30.0,1193.1666259765625,0.11806451612903225,2065.330078125,82.0,0.0008267924847559234,56.957602493525975
2014-12-08,361.9089965820313,188438.25,89.04000091552734,320.8840026855469,30.0,1194.699951171875,0.11774193548387096,2060.31005859375,81.85714285714286,-0.03578654091018663,37.05666676854302
2014-12-09,352.218994140625,186519.0,88.69000244140625,320.8840026855469,30.0,1231.5,0.11741935483870967,2059.820068359375,81.71428571428571,-0.027139664971795784,32.49155985675205
2014-12-10,346.364990234375,178662.25,88.2699966430664,320.8840026855469,30.0,1228.9000244140625,0.11709677419354839,2026.1400146484375,81.57142857142857,-0.016760020464782286,33.05404206196111
2014-12-11,350.5060119628906,170805.5,88.66000366210938,320.8840026855469,30.0,1225.0999755859375,0.1167741935483871,2035.3299560546875,81.42857142857143,0.011884754732860379,35.86058320596662
2014-12-12,352.5419921875,162948.75,88.36000061035156,320.8840026855469,30.0,1222.0,0.11645161290322581,2002.3299560546875,81.28571428571429,0.005791883069589239,31.035908639504115
2014-12-13,347.3760070800781,155092.0,88.3933334350586,320.8840026855469,30.0,1217.066650390625,0.11612903225806451,1998.0966389973958,81.14285714285714,-0.014761954756862644,29.092619808625727
2014-12-14,351.6319885253906,168816.0,88.42666625976562,320.8840026855469,30.0,1212.13330078125,0.11580645161290322,1993.8633219401042,81.0,0.012177354377937011,30.84119141521616
2014-12-15,345.3450012207031,182540.0,88.45999908447266,320.8840026855469,30.0,1207.199951171875,0.11548387096774193,1989.6300048828125,82.0,-0.01804122065223821,27.10263459817297
2014-12-16,327.06201171875,196264.0,88.12999725341797,320.8840026855469,30.0,1193.9000244140625,0.11516129032258064,1972.739990234375,83.0,-0.05439412969735232,19.939261739292178
2014-12-17,319.7760009765625,209988.0,89.12999725341797,320.8840026855469,30.0,1194.300048828125,0.11483870967741935,2012.8900146484375,84.0,-0.022529037468551814,19.724826502728575
2014-12-18,311.39599609375,208907.5,89.23999786376953,320.8840026855469,30.0,1194.699951171875,0.11451612903225807,2061.22998046875,85.0,-0.026555352175350936,19.102051871540638
2014-12-19,317.8429870605469,207827.0,89.5999984741211,320.8840026855469,30.0,1195.9000244140625,0.11419354838709678,2070.64990234375,86.0,0.02049210790497289,18.406462248814222
2014-12-20,329.95599365234375,206746.5,89.6566645304362,320.8840026855469,30.0,1190.5,0.11387096774193549,2073.2799479166665,87.0,0.037401783536729974,28.329857256110827
2014-12-21,320.8429870605469,205666.0,89.7133305867513,320.8840026855469,30.0,1185.0999755859375,0.11354838709677419,2075.9099934895835,88.0,-0.02800742641911091,25.83170328896459
2014-12-22,331.885986328125,189276.75,89.7699966430664,320.8840026855469,30.0,1179.699951171875,0.1132258064516129,2078.5400390625,86.0,0.03383962868132819,36.36494925146745
2014-12-23,334.5719909667969,172887.5,90.05999755859375,320.8840026855469,30.0,1177.9000244140625,0.11290322580645161,2082.169921875,84.0,0.008060580781696913,41.441053141054766
2014-12-24,322.53399658203125,156498.25,89.97000122070312,320.8840026855469,30.0,1173.5,0.11258064516129032,2081.8798828125,82.0,-0.036643529605327387,39.095858321310615
2014-12-25,319.00799560546875,140109.0,90.0,320.8840026855469,30.0,1184.4000244140625,0.11225806451612903,2085.324951171875,80.0,-0.010992379373534256,35.50615084274452
2014-12-26,327.92401123046875,145972.5,90.02999877929688,320.8840026855469,30.0,1195.300048828125,0.11193548387096774,2088.77001953125,78.0,0.02756574140127263,39.34655286536183
2014-12-27,315.8630065917969,151836.0,90.08333333333333,320.8840026855469,30.0,1190.7666829427083,0.11161290322580646,2089.3700358072915,76.0,-0.03747331232117634,37.130721968120234
2014-12-28,317.239013671875,157699.5,90.13666788736978,320.8840026855469,30.0,1186.2333170572917,0.11129032258064517,2089.9700520833335,74.0,0.004346879974207228,35.616256877015104
2014-12-29,312.6700134277344,163563.0,90.19000244140624,320.8840026855469,30.0,1181.699951171875,0.11096774193548387,2090.570068359375,75.71428571428571,-0.014507111911498326,36.13551865130873
2014-12-30,310.73699951171875,167523.75,89.98999786376953,320.8840026855469,30.0,1200.199951171875,0.11064516129032258,2080.35009765625,77.42857142857143,-0.0062014705350289445,41.95709673772105
2014-12-31,320.1929931640625,171484.5,90.2699966430664,320.8840026855469,30.0,1183.9000244140625,0.11032258064516129,2058.89990234375,79.14285714285714,0.029977023965103558,50.20114030537291
2015-01-01,314.2489929199219,175445.25,90.67499923706055,320.8840026855469,30.0,1184.9500122070312,0.11,2058.5499267578125,80.85714285714286,-0.018738274882211695,51.40929042987376
2015-01-02,315.0320129394531,179406.0,91.08000183105467,320.8840026855469,30.0,1186.0,0.11,2058.199951171875,82.57142857142857,0.0024886192856885233,48.52916472652459
2015-01-03,281.0820007324219,179344.25,91.18000030517577,320.8840026855469,30.0,1191.9666748046875,0.11,2045.6599527994792,84.28571428571429,-0.11402781772464736,29.183790344572287
2015-01-04,264.19500732421875,179282.5,91.27999877929686,320.8840026855469,30.0,1197.933349609375,0.11,2033.1199544270833,86.0,-0.061958949741243954,27.371232086157605
2015-01-05,274.4739990234375,179220.75,91.37999725341795,320.8840026855469,30.0,1203.9000244140625,0.11,2020.5799560546875,87.71428571428571,0.03816904066200965,26.92519413846091
2015-01-06,286.1889953613281,179159.0,91.5,320.8840026855469,30.0,1219.300048828125,0.11,2002.6099853515625,89.42857142857143,0.0417958802770686,31.86993491348099
2015-01-07,294.3370056152344,195051.5,91.88999938964844,320.8840026855469,30.0,1210.5999755859375,0.11,2025.9000244140625,91.14285714285714,0.0280729729527459,39.11674971206401
2015-01-08,283.3489990234375,210944.0,92.37000274658205,320.8840026855469,30.0,1208.4000244140625,0.11,2062.139892578125,92.85714285714286,-0.038046038508232904,36.986248886817826
2015-01-09,290.4079895019531,226836.5,91.94000244140624,320.8840026855469,30.0,1216.0,0.11,2044.81005859375,94.57142857142857,0.02460744467252288,36.120397486209306
2015-01-10,274.7959899902344,242729.0,91.95333607991536,320.8840026855469,30.0,1221.566650390625,0.11,2039.2933756510417,96.28571428571429,-0.05525782685593136,35.195637298152434
2015-01-11,265.6600036621094,236315.75,91.96666971842447,320.8840026855469,30.0,1227.13330078125,0.11,2033.7766927083333,98.0,-0.03381165828602173,32.39131607992968
2015-01-12,267.7959899902344,229902.5,91.9800033569336,320.8840026855469,30.0,1232.699951171875,0.11,2028.260009765625,95.28571428571429,0.008008149758100299,34.42155474246542
2015-01-13,225.86099243164065,223489.25,92.30999755859376,320.8840026855469,30.0,1234.300048828125,0.11,2023.030029296875,92.57142857142857,-0.1703057269491352,26.939374939160686
2015-01-14,178.10299682617188,217076.0,92.16000366210938,320.8840026855469,30.0,1234.4000244140625,0.11,2011.27001953125,89.85714285714286,-0.23755771549530535,18.045246948344953
2015-01-15,209.843994140625,216553.0,92.3499984741211,320.8840026855469,30.0,1264.699951171875,0.11,1992.6700439453125,87.14285714285714,0.164002352794029,28.961377507879163
2015-01-16,208.0970001220703,216030.0,92.5199966430664,320.8840026855469,30.0,1276.9000244140625,0.11,2019.4200439453125,84.42857142857143,-0.008360051860799687,28.534946866428683
2015-01-17,199.2599945068359,215507.0,92.65249824523926,320.8840026855469,30.0,1281.2250061035156,0.11,2020.2025451660156,81.71428571428571,-0.043393840687306014,31.734361386449223
2015-01-18,210.33900451660156,214984.0,92.7849998474121,320.8840026855469,30.0,1285.5499877929688,0.11,2020.9850463867188,79.0,0.05411005929718177,37.65732896525924
2015-01-19,214.86099243164065,207800.75,92.91750144958495,320.8840026855469,30.0,1289.8749694824219,0.11,2021.7675476074219,80.14285714285714,0.021270735850478655,35.967662823755376
2015-01-20,211.31500244140625,200617.5,93.0500030517578,320.8840026855469,30.0,1294.199951171875,0.11,2022.550048828125,81.28571428571429,-0.016641349425745793,31.670450908501948
2015-01-21,226.89700317382812,193434.25,92.9000015258789,320.8840026855469,30.0,1293.699951171875,0.11,2032.1199951171875,82.42857142857143,0.07114626123199319,34.070139785645395
2015-01-22,233.406005859375,186251.0,94.23999786376952,320.8840026855469,30.0,1300.699951171875,0.11,2063.14990234375,83.57142857142857,0.02828326756390444,37.94805799253111
2015-01-23,232.8789978027344,193708.25,95.0,320.8840026855469,30.0,1292.5999755859375,0.11,2051.820068359375,84.71428571428571,-0.002260455630801842,35.66555470305859
2015-01-24,247.8470001220703,201165.5,94.93333435058594,320.8840026855469,30.0,1288.1999918619792,0.11,2053.5767415364585,85.85714285714286,0.062292624854732755,43.26352603098475
2015-01-25,253.7180023193359,208622.75,94.86666870117186,320.8840026855469,30.0,1283.8000081380208,0.11,2055.3334147135415,87.0,0.023411802380044235,46.9653069924452
2015-01-26,273.4729919433594,216080.0,94.8000030517578,320.8840026855469,30.0,1279.4000244140625,0.11,2057.090087890625,85.85714285714286,0.07497944406522519,51.32406983638459
2015-01-27,263.4750061035156,202435.0,94.0199966430664,320.8840026855469,30.0,1291.699951171875,0.11,2029.550048828125,84.71428571428571,-0.03724435725045598,60.30859993981458
2015-01-28,233.9149932861328,188790.0,94.47000122070312,320.8840026855469,30.0,1285.9000244140625,0.11,2002.1600341796875,83.57142857142857,-0.11900073718364432,66.9907819412226
2015-01-29,233.51300048828125,175145.0,94.77999877929688,320.8840026855469,30.0,1254.5999755859375,0.11,2021.25,82.42857142857143,-0.0017200206333921858,58.90461806237248
2015-01-30,226.4250030517578,161500.0,94.8000030517578,320.8840026855469,30.0,1278.5,0.11,1994.989990234375,81.28571428571429,-0.030823974429389264,56.62886075189311
2015-01-31,217.46400451660156,171923.0,94.7000020345052,320.8840026855469,30.0,1277.7333170572917,0.11,2003.6099853515625,80.14285714285714,-0.040380437381728564,56.578115068188616
2015-02-01,226.9720001220703,182346.0,94.6000010172526,320.8840026855469,30.0,1276.9666341145833,0.11,2012.22998046875,79.0,0.04279332203631927,56.07944606690413
2015-02-02,238.22900390625,192769.0,94.5,320.8840026855469,30.0,1276.199951171875,0.11,2020.8499755859375,78.85714285714286,0.04840574994570224,58.140350004337414
2015-02-03,227.26800537109375,203192.0,93.5999984741211,320.8840026855469,30.0,1259.699951171875,0.11,2050.030029296875,78.71428571428571,-0.04710245086441019,55.284306373883474
2015-02-04,226.85299682617188,192184.0,93.98999786376952,320.8840026855469,30.0,1263.800048828125,0.11,2041.510009765625,78.57142857142857,-0.0018277448453036722,49.98379498156876
2015-02-05,217.11099243164065,181176.0,94.6999969482422,320.8840026855469,30.0,1262.0,0.11,2062.52001953125,78.42857142857143,-0.043893507993348985,44.13903254713647
2015-02-06,222.26600646972656,170168.0,94.6999969482422,320.8840026855469,30.0,1233.9000244140625,0.11,2055.469970703125,78.28571428571429,0.02346618327569626,46.30572369484037
