date,bitcoin
2023-01-01,60
2023-01-08,67
2023-01-15,77
2023-01-22,76
2023-01-29,70
2023-02-05,61
2023-02-12,64
2023-02-19,65
2023-02-26,59
2023-03-05,64
2023-03-12,86
2023-03-19,91
2023-03-26,77
2023-04-02,72
2023-04-09,80
2023-04-16,70
2023-04-23,67
2023-04-30,63
2023-05-07,63
2023-05-14,54
2023-05-21,54
2023-05-28,55
2023-06-04,61
2023-06-11,60
2023-06-18,70
2023-06-25,67
2023-07-02,64
2023-07-09,65
2023-07-16,62
2023-07-23,59
2023-07-30,57
2023-08-06,56
2023-08-06,34
2023-08-13,38
2023-08-20,37
2023-08-27,36
2023-09-03,32
2023-09-10,32
2023-09-17,31
2023-09-24,28
2023-10-01,32
2023-10-08,31
2023-10-15,35
2023-10-22,50
2023-10-29,40
2023-11-05,43
2023-11-12,42
2023-11-19,40
2023-11-26,38
2023-12-03,61
2023-12-10,48
2023-12-17,45
2023-12-24,44
2023-12-31,56

