Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Date,,,,,
2017-01-03,1160.4000244140625,1160.800048828125,1146.5,1155.199951171875,52
2017-01-04,1163.800048828125,1165.0,1156.300048828125,1156.300048828125,36
2017-01-05,1179.699951171875,1183.300048828125,1171.5,1172.0,500
2017-01-06,1171.9000244140625,1176.5,1171.9000244140625,1176.5,16
2017-01-09,1183.5,1183.5999755859375,1173.0,1173.9000244140625,62
2017-01-10,1184.199951171875,1188.9000244140625,1182.300048828125,1184.300048828125,8
2017-01-11,1195.5999755859375,1197.0,1176.5,1187.5,20
2017-01-12,1198.9000244140625,1204.300048828125,1192.300048828125,1192.699951171875,110
2017-01-13,1195.300048828125,1196.0,1187.699951171875,1195.699951171875,65
2017-01-17,1212.0,1214.5999755859375,1200.800048828125,1205.5,79
2017-01-18,1211.300048828125,1214.699951171875,1203.0999755859375,1213.5999755859375,114
2017-01-19,1200.9000244140625,1204.0,1195.800048828125,1200.5,26
2017-01-20,1204.300048828125,1212.0999755859375,1202.800048828125,1202.800048828125,38
2017-01-23,1215.0,1215.0,1210.0,1212.0,16
2017-01-24,1210.300048828125,1219.0,1207.699951171875,1219.0,24
2017-01-25,1197.300048828125,1202.800048828125,1194.9000244140625,1202.0,403
2017-01-26,1189.5,1199.699951171875,1185.5999755859375,1199.699951171875,19
2017-01-27,1188.0999755859375,1188.300048828125,1187.9000244140625,1187.9000244140625,234352
2017-01-30,1193.199951171875,1198.5,1187.0999755859375,1191.699951171875,50503
2017-01-31,1208.5999755859375,1214.699951171875,1193.5,1194.9000244140625,3212
2017-02-01,1205.5999755859375,1211.9000244140625,1197.9000244140625,1211.9000244140625,1145
2017-02-02,1216.699951171875,1224.199951171875,1208.9000244140625,1209.699951171875,1512
2017-02-03,1218.5,1220.5999755859375,1206.199951171875,1214.9000244140625,865
2017-02-06,1230.0,1235.4000244140625,1218.5,1221.9000244140625,908
2017-02-07,1234.199951171875,1236.199951171875,1228.5,1234.199951171875,1177
2017-02-08,1237.5999755859375,1243.9000244140625,1231.0,1232.0999755859375,288
2017-02-09,1235.0999755859375,1243.5,1226.9000244140625,1239.4000244140625,885
2017-02-10,1234.4000244140625,1234.4000244140625,1221.5,1227.5999755859375,391
2017-02-13,1224.4000244140625,1231.0999755859375,1219.0,1230.5,398
2017-02-14,1223.9000244140625,1233.5,1222.0999755859375,1225.9000244140625,159
2017-02-15,1231.699951171875,1231.699951171875,1217.300048828125,1225.5,175
2017-02-16,1240.0,1240.699951171875,1233.199951171875,1234.5,87
2017-02-17,1237.5999755859375,1241.199951171875,1234.800048828125,1240.699951171875,301
2017-02-21,1237.5,1237.5,1228.0999755859375,1237.300048828125,119
2017-02-22,1232.0,1238.5999755859375,1231.800048828125,1236.0999755859375,36
2017-02-23,1250.199951171875,1250.300048828125,1236.0999755859375,1236.0999755859375,112
2017-02-24,1256.9000244140625,1258.800048828125,1250.0,1250.0,1264
2017-02-27,1257.4000244140625,1263.0999755859375,1250.4000244140625,1254.699951171875,544
2017-02-28,1252.5999755859375,1257.300048828125,1247.199951171875,1253.5999755859375,721
2017-03-01,1248.9000244140625,1248.9000244140625,1236.9000244140625,1247.800048828125,138
2017-03-02,1231.9000244140625,1247.5999755859375,1230.699951171875,1247.199951171875,79
2017-03-03,1225.5,1235.199951171875,1222.9000244140625,1231.699951171875,121
2017-03-06,1224.5,1235.199951171875,1224.5,1235.199951171875,29
2017-03-07,1215.0999755859375,1225.4000244140625,1213.699951171875,1224.300048828125,53
2017-03-08,1208.5,1212.199951171875,1206.699951171875,1212.199951171875,24
2017-03-09,1202.4000244140625,1205.5999755859375,1202.300048828125,1204.5,37
2017-03-10,1200.699951171875,1203.300048828125,1196.199951171875,1196.199951171875,3
2017-03-13,1202.4000244140625,1210.0,1202.300048828125,1206.199951171875,35
2017-03-14,1201.9000244140625,1205.9000244140625,1196.800048828125,1203.0999755859375,22
2017-03-15,1200.0999755859375,1221.199951171875,1197.699951171875,1198.199951171875,36
2017-03-16,1226.5,1231.4000244140625,1222.199951171875,1222.199951171875,47
2017-03-17,1229.800048828125,1230.9000244140625,1227.0999755859375,1227.0999755859375,26
2017-03-20,1233.5999755859375,1234.4000244140625,1229.300048828125,1229.300048828125,23
2017-03-21,1246.0999755859375,1246.0999755859375,1226.4000244140625,1226.4000244140625,11
2017-03-22,1249.300048828125,1249.5,1247.699951171875,1247.9000244140625,3
2017-03-23,1246.9000244140625,1247.5,1244.800048828125,1246.4000244140625,16
2017-03-24,1248.199951171875,1248.300048828125,1247.5999755859375,1248.0,3
2017-03-27,1255.4000244140625,1257.699951171875,1253.800048828125,1255.800048828125,72
2017-03-28,1255.300048828125,1255.9000244140625,1255.300048828125,1255.9000244140625,19
2017-03-29,1253.4000244140625,1253.4000244140625,1252.0999755859375,1252.199951171875,190678
2017-03-30,1245.0,1253.5999755859375,1241.0999755859375,1253.0999755859375,51328
2017-03-31,1247.300048828125,1248.800048828125,1238.699951171875,1242.0999755859375,8223
2017-04-03,1250.800048828125,1252.4000244140625,1243.5999755859375,1247.5,1160
2017-04-04,1255.0,1260.300048828125,1253.0,1253.0999755859375,724
2017-04-05,1245.4000244140625,1255.4000244140625,1243.0,1255.4000244140625,907
2017-04-06,1250.300048828125,1257.5,1249.0,1256.0999755859375,169
2017-04-07,1254.300048828125,1269.0999755859375,1249.5,1249.5,445
2017-04-10,1251.0999755859375,1255.199951171875,1246.800048828125,1252.699951171875,182
2017-04-11,1271.199951171875,1273.5,1254.5,1254.5,401
2017-04-12,1275.300048828125,1285.0999755859375,1272.0,1275.0,492
2017-04-13,1285.9000244140625,1287.5999755859375,1282.0,1285.300048828125,915
2017-04-17,1289.4000244140625,1294.800048828125,1284.300048828125,1291.800048828125,73
2017-04-18,1291.699951171875,1291.699951171875,1278.5999755859375,1283.9000244140625,394
2017-04-19,1281.4000244140625,1288.0,1274.0,1288.0,194
2017-04-20,1281.9000244140625,1281.9000244140625,1276.199951171875,1279.699951171875,127
2017-04-21,1287.4000244140625,1287.4000244140625,1279.199951171875,1279.800048828125,474
2017-04-24,1275.800048828125,1276.4000244140625,1265.0,1275.0,605
2017-04-25,1265.5999755859375,1276.9000244140625,1262.0999755859375,1275.5999755859375,356
2017-04-26,1262.0999755859375,1266.0,1262.0999755859375,1266.0,1156
2017-04-27,1263.699951171875,1267.199951171875,1262.199951171875,1266.699951171875,206
2017-04-28,1266.0999755859375,1267.199951171875,1264.699951171875,1265.9000244140625,85
2017-05-01,1253.300048828125,1269.300048828125,1253.300048828125,1268.699951171875,34
2017-05-02,1255.0999755859375,1256.199951171875,1251.199951171875,1256.199951171875,90
2017-05-03,1246.4000244140625,1255.800048828125,1238.699951171875,1255.0999755859375,195
2017-05-04,1226.5,1239.800048828125,1224.199951171875,1239.800048828125,72
2017-05-05,1224.800048828125,1233.699951171875,1224.800048828125,1227.0,16
2017-05-08,1225.300048828125,1234.0,1224.0,1224.0,43
2017-05-09,1214.300048828125,1226.199951171875,1214.0,1226.0999755859375,55
2017-05-10,1217.300048828125,1220.199951171875,1217.300048828125,1219.800048828125,23
2017-05-11,1222.699951171875,1222.699951171875,1218.300048828125,1218.5,13
2017-05-12,1226.199951171875,1229.5,1226.0999755859375,1228.0,29
2017-05-15,1228.5999755859375,1232.699951171875,1227.5,1227.5,13
2017-05-16,1235.0,1237.300048828125,1230.4000244140625,1230.4000244140625,20
2017-05-17,1257.5,1259.199951171875,1240.699951171875,1241.0,26
2017-05-18,1251.699951171875,1260.0,1245.800048828125,1254.800048828125,43
2017-05-19,1252.699951171875,1252.699951171875,1252.699951171875,1252.699951171875,14
2017-05-22,1260.699951171875,1260.699951171875,1251.699951171875,1251.699951171875,14
2017-05-23,1254.800048828125,1261.5999755859375,1250.5999755859375,1261.5,20
2017-05-24,1252.4000244140625,1257.800048828125,1249.699951171875,1251.9000244140625,14
2017-05-25,1255.800048828125,1258.300048828125,1255.800048828125,1257.0999755859375,11
2017-05-26,1267.5999755859375,1267.5999755859375,1267.5999755859375,1267.5999755859375,271457
2017-05-30,1262.0999755859375,1270.0,1258.4000244140625,1267.4000244140625,129819
2017-05-31,1272.0,1273.199951171875,1258.5,1262.4000244140625,2712
2017-06-01,1267.0,1269.199951171875,1260.800048828125,1268.0,825
2017-06-02,1276.800048828125,1279.0,1259.0,1265.199951171875,1732
2017-06-05,1279.300048828125,1282.0,1277.0,1279.199951171875,433
2017-06-06,1294.4000244140625,1295.199951171875,1279.4000244140625,1279.4000244140625,942
2017-06-07,1290.0999755859375,1293.0999755859375,1284.300048828125,1291.5999755859375,641
2017-06-08,1276.300048828125,1287.5999755859375,1268.0999755859375,1285.4000244140625,319
2017-06-09,1268.5,1277.9000244140625,1264.5999755859375,1277.9000244140625,467
2017-06-12,1266.0999755859375,1269.300048828125,1263.199951171875,1266.4000244140625,255
2017-06-13,1265.800048828125,1266.9000244140625,1259.699951171875,1264.0999755859375,150
2017-06-14,1272.800048828125,1278.0,1256.800048828125,1269.4000244140625,336
2017-06-15,1252.199951171875,1264.199951171875,1250.300048828125,1263.199951171875,743
2017-06-16,1254.0,1255.300048828125,1251.300048828125,1252.800048828125,34
2017-06-19,1244.199951171875,1252.199951171875,1241.9000244140625,1252.0999755859375,108
2017-06-20,1241.0,1245.5,1240.5,1242.199951171875,75
2017-06-21,1243.4000244140625,1245.0,1240.0,1244.0999755859375,205
2017-06-22,1247.5999755859375,1252.699951171875,1246.300048828125,1251.0,156
2017-06-23,1256.199951171875,1273.5999755859375,1249.800048828125,1250.0,269
2017-06-26,1246.300048828125,1260.199951171875,1241.5999755859375,1260.199951171875,194
2017-06-27,1246.4000244140625,1251.800048828125,1245.9000244140625,1251.5999755859375,111
2017-06-28,1248.0,1248.5,1248.0,1248.5,370
2017-06-29,1244.199951171875,1250.699951171875,1238.0999755859375,1248.199951171875,540
2017-06-30,1240.699951171875,1243.699951171875,1239.0999755859375,1243.699951171875,43
2017-07-03,1217.9000244140625,1236.0,1217.9000244140625,1236.0,33
2017-07-05,1220.4000244140625,1225.0,1217.0999755859375,1222.5,40
2017-07-06,1222.199951171875,1225.0999755859375,1222.199951171875,1225.0999755859375,5
2017-07-07,1208.5999755859375,1220.4000244140625,1208.5999755859375,1219.0999755859375,116
2017-07-10,1212.0999755859375,1212.0999755859375,1209.5999755859375,1211.4000244140625,28
2017-07-11,1213.5999755859375,1214.9000244140625,1208.699951171875,1208.699951171875,12
2017-07-12,1218.0999755859375,1219.4000244140625,1217.9000244140625,1218.300048828125,7
2017-07-13,1216.300048828125,1221.4000244140625,1216.300048828125,1221.4000244140625,7
2017-07-14,1226.5999755859375,1227.5,1214.800048828125,1214.9000244140625,23
2017-07-17,1232.800048828125,1233.4000244140625,1229.9000244140625,1229.9000244140625,7
2017-07-18,1241.0999755859375,1241.199951171875,1236.199951171875,1236.199951171875,29
2017-07-19,1241.199951171875,1241.199951171875,1240.0999755859375,1240.4000244140625,3
2017-07-20,1244.800048828125,1244.800048828125,1236.5999755859375,1236.5999755859375,5
2017-07-21,1254.300048828125,1254.300048828125,1250.5,1250.699951171875,16
2017-07-24,1253.9000244140625,1256.0,1253.9000244140625,1256.0,8
2017-07-25,1251.699951171875,1253.5999755859375,1249.199951171875,1252.699951171875,18
2017-07-26,1249.0,1249.0,1244.800048828125,1244.800048828125,7
2017-07-27,1259.5999755859375,1259.5999755859375,1259.5999755859375,1259.5999755859375,220309
2017-07-28,1268.4000244140625,1270.0,1256.9000244140625,1258.4000244140625,64180
2017-07-31,1266.5999755859375,1270.800048828125,1265.800048828125,1268.9000244140625,7780
2017-08-01,1272.5999755859375,1273.300048828125,1262.0,1268.4000244140625,1061
2017-08-02,1271.800048828125,1272.0999755859375,1262.9000244140625,1268.5,393
2017-08-03,1267.800048828125,1269.800048828125,1256.5999755859375,1265.9000244140625,878
2017-08-04,1258.300048828125,1269.5999755859375,1253.9000244140625,1269.0,521
2017-08-07,1258.199951171875,1259.0999755859375,1255.300048828125,1258.699951171875,260
2017-08-08,1256.4000244140625,1264.0999755859375,1251.4000244140625,1256.9000244140625,555
2017-08-09,1273.0,1277.800048828125,1260.199951171875,1260.199951171875,574
2017-08-10,1283.699951171875,1287.4000244140625,1274.9000244140625,1276.5999755859375,608
2017-08-11,1287.699951171875,1291.0999755859375,1282.0,1286.300048828125,139
2017-08-14,1284.199951171875,1288.4000244140625,1278.800048828125,1288.4000244140625,338
2017-08-15,1273.699951171875,1280.5,1267.4000244140625,1280.5,188
2017-08-16,1276.9000244140625,1282.5999755859375,1269.4000244140625,1271.300048828125,110
2017-08-17,1286.4000244140625,1288.5,1283.199951171875,1283.800048828125,43
2017-08-18,1285.699951171875,1300.699951171875,1284.300048828125,1288.5999755859375,358
2017-08-21,1290.800048828125,1290.800048828125,1284.699951171875,1285.199951171875,18
2017-08-22,1285.0999755859375,1288.4000244140625,1283.199951171875,1287.199951171875,100
2017-08-23,1288.9000244140625,1289.4000244140625,1286.9000244140625,1289.4000244140625,250
2017-08-24,1286.5,1288.699951171875,1284.0,1288.699951171875,550
2017-08-25,1292.5,1292.699951171875,1280.300048828125,1285.4000244140625,280
2017-08-28,1309.699951171875,1311.300048828125,1293.5,1293.5,145
2017-08-29,1313.0999755859375,1323.800048828125,1313.0999755859375,1318.800048828125,1178
