date,interest_rate
1971-01-01,4.14
1971-02-01,3.72
1971-03-01,3.71
1971-04-01,4.16
1971-05-01,4.63
1971-06-01,4.91
1971-07-01,5.31
1971-08-01,5.57
1971-09-01,5.55
1971-10-01,5.2
1971-11-01,4.91
1971-12-01,4.14
