date,bitcoin
2015-01-04,86
2015-01-11,98
2015-01-18,79
2015-01-25,87
2015-02-01,79
2015-02-08,78
2015-02-15,84
2015-02-22,70
2015-03-01,80
2015-03-08,80
2015-03-15,76
2015-03-22,69
2015-03-29,72
2015-04-05,66
2015-04-12,64
2015-04-19,68
2015-04-26,65
2015-05-03,59
2015-05-10,67
2015-05-17,69
2015-05-24,69
2015-05-31,66
2015-06-07,57
2015-06-14,77
2015-06-21,63
2015-06-21,45
2015-06-28,58
2015-07-05,61
2015-07-12,58
2015-07-19,51
2015-07-26,54
2015-08-02,55
2015-08-09,48
2015-08-16,58
2015-08-23,57
2015-08-30,49
2015-09-06,46
2015-09-13,48
2015-09-20,47
2015-09-27,48
2015-10-04,48
2015-10-11,48
2015-10-18,52
2015-10-25,61
2015-11-01,100
2015-11-08,69
2015-11-15,60
2015-11-22,55
2015-11-29,58
2015-12-06,89
2015-12-13,70
2015-12-20,64
2015-12-27,60

