date,bitcoin
2022-01-02,59
2022-01-09,56
2022-01-16,57
2022-01-23,75
2022-01-30,55
2022-02-06,53
2022-02-13,44
2022-02-13,46
2022-02-20,59
2022-02-27,56
2022-03-06,48
2022-03-13,41
2022-03-20,40
2022-03-27,43
2022-04-03,38
2022-04-10,37
2022-04-17,33
2022-04-24,34
2022-05-01,38
2022-05-08,84
2022-05-15,55
2022-05-22,45
2022-05-29,38
2022-06-05,36
2022-06-12,100
2022-06-19,72
2022-06-26,53
2022-07-03,49
2022-07-10,45
2022-07-17,43
2022-07-24,41
2022-07-31,37
2022-08-07,34
2022-08-14,35
2022-08-21,32
2022-08-28,33
2022-09-04,32
2022-09-11,33
2022-09-18,35
2022-09-25,30
2022-10-02,27
2022-10-09,26
2022-10-16,25
2022-10-23,26
2022-10-30,26
2022-11-06,50
2022-11-13,45
2022-11-13,100
2022-11-20,75
2022-11-27,70
2022-12-04,61
2022-12-11,61
2022-12-18,57
2022-12-25,60
