date,bitcoin
2017-01-01,33
2017-01-08,26
2017-01-15,20
2017-01-22,19
2017-01-29,20
2017-02-05,21
2017-02-12,20
2017-02-19,23
2017-02-26,27
2017-03-05,32
2017-03-12,26
2017-03-19,26
2017-03-26,23
2017-04-02,23
2017-04-09,22
2017-04-16,22
2017-04-23,24
2017-04-30,32
2017-05-07,43
2017-05-14,53
2017-05-21,94
2017-05-28,58
2017-06-04,60
2017-06-11,61
2017-06-18,51
2017-06-25,51
2017-07-02,41
2017-07-09,46
2017-07-16,54
2017-07-23,51
2017-07-30,71
2017-08-06,69
2017-08-13,90
2017-08-20,75
2017-08-27,79
2017-09-03,83
2017-09-10,100
2017-09-10,21
2017-09-17,15
2017-09-24,13
2017-10-01,12
2017-10-08,18
2017-10-15,19
2017-10-22,20
2017-10-29,27
2017-11-05,29
2017-11-12,30
2017-11-19,26
2017-11-26,64
2017-12-03,89
2017-12-10,83
2017-12-17,100
2017-12-24,61
2017-12-31,47

