Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,
2015-01-01,314.2489929199219,320.43499755859375,314.00299072265625,320.43499755859375,8036550
2015-01-02,315.0320129394531,315.8389892578125,313.56500244140625,314.0790100097656,7860650
2015-01-03,281.0820007324219,315.1499938964844,281.0820007324219,314.84600830078125,33054400
2015-01-04,264.19500732421875,287.2300109863281,257.61199951171875,281.14599609375,55629100
2015-01-05,274.4739990234375,278.34100341796875,265.0840148925781,265.0840148925781,43962800
2015-01-06,286.1889953613281,287.5530090332031,272.6960144042969,274.6109924316406,23245700
2015-01-07,294.3370056152344,298.7539978027344,283.0790100097656,286.0769958496094,24866800
2015-01-08,283.3489990234375,294.135009765625,282.17498779296875,294.135009765625,19982500
2015-01-09,290.4079895019531,291.114013671875,280.5329895019531,282.38299560546875,18718600
2015-01-10,274.7959899902344,288.12701416015625,273.96600341796875,287.3030090332031,15264300
2015-01-11,265.6600036621094,279.63800048828125,265.03900146484375,274.6080017089844,18200800
2015-01-12,267.7959899902344,272.2030029296875,265.20001220703125,266.14599609375,18880300
2015-01-13,225.86099243164062,268.2770080566406,219.906005859375,267.3940124511719,72843904
2015-01-14,178.10299682617188,223.8939971923828,171.50999450683594,223.8939971923828,97638704
2015-01-15,209.843994140625,229.06700134277344,176.89700317382812,176.89700317382812,81773504
2015-01-16,208.0970001220703,221.59100341796875,199.77099609375,209.07000732421875,38421000
2015-01-17,199.25999450683594,211.7310028076172,194.875,207.83399963378906,23469700
2015-01-18,210.33900451660156,218.69500732421875,194.50599670410156,200.0500030517578,30085100
2015-01-19,214.86099243164062,216.72799682617188,207.3179931640625,211.4709930419922,18658300
2015-01-20,211.31500244140625,215.24099731445312,205.1529998779297,212.90699768066406,24051100
2015-01-21,226.89700317382812,227.78799438476562,211.21200561523438,211.3780059814453,29924600
2015-01-22,233.406005859375,237.0189971923828,226.4340057373047,227.32200622558594,33544600
2015-01-23,232.87899780273438,234.84500122070312,225.1959991455078,233.51699829101562,24621700
2015-01-24,247.8470001220703,248.2100067138672,230.02200317382812,232.6999969482422,24782500
2015-01-25,253.71800231933594,255.07400512695312,243.88999938964844,247.3520050048828,33582700
2015-01-26,273.4729919433594,309.3840026855469,254.07899475097656,254.07899475097656,106794000
